Team,Golfer,Jan 26-29 Farmers Insurance Open,Feb 2-5 Waste Management Phoenix Open ,Feb 9-12 AT&T Pebble Beach Pro-Am,Feb 16-19  Genesis Open ,Feb 23-26  Honda Classic,Mar 2-5 WGC-Mexico Championship ,Mar 9-12  Valspar Champion,Mar 16-19  Arnold Palmer Invitational,Mar 22-26  WGC-Dell Match Play,Mar 30-Apr 2  Shell Houston Open,Apr 6-9  Masters,Apr 13-16  RBC Heritage,Apr 20-23  Valero Texas Open,Apr 27-30  Zurich Classic of New Orleans,May 4-7  Wells Fargo Championship,May 11-14  The Players Championship,May 18-21  AT&T Byron Nelson,May 25-28  Dean & DeLuca Invitational,Jun 1-4  Memorial Tournament,Jun 8-11  FedEx St. Jude Classic,Jun 15-18  U.S. Open,Jun 22-25  Travelers Championship,Jun 29-Jul 2  Quicken Loans National,Jul 6-9  The Greenbrier Classic,Jul 13-16  John Deere Classic,Jul 20-23  British Open,Jul 20-23  Barbasol Championship ,Jul 27-30  RBC Canadian Open,Aug 3-6  WGC-Bridgestone Invitational,Aug 10-13  PGA Championship,Aug 17-20  Wyndham Championship,Aug 24-27  The Northern Trust,Sep 1-4  Deutsche Bank Championship,Sep 14-17  BMW Championship,Sep 21-24  Tour Championship
Long Ballin' Hitters,Henrik Stenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Ballin' Hitters,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Ballin' Hitters,Patrick Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark M,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark M,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark M,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark M,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark M,Mark Leishman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark M,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Smiths Squad,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Smiths Squad,Henrik Stenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Smiths Squad,Jimmy Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Smiths Squad,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Smiths Squad,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Smiths Squad,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pound Town,Brendan Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pound Town,Bubba Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pound Town,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pound Town,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pound Town,Rory McIlroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pound Town,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Hart,Bubba Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Hart,Jim Furyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Hart,Jimmy Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Hart,Luke Donald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Hart,Ryan Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Hart,Sergio Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Bouchie,Bill Haas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Bouchie,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Bouchie,Jimmy Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Bouchie,Jordan Spieth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Bouchie,Tony Finau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
